[DM_REFINEMENT]
eventname,dm_stored,dm_refined,dm_refined_offset,dm_error,best_snr
FRB20180907D,Native (CHIME portal),167.20675405468404,16.917785091394187,False
FRB20180907D,B: CHIME Boxcar,295.76680733816943,20.792124570822715,False
FRB20180907D,A: Optimized Asymmetric FRED,344.87930133375306,20.792124570822715,True
FRB20180907E,Native (CHIME portal),164.02311921777246,13.213253087872266,False
FRB20180907E,B: CHIME Boxcar,325.2048845699743,25.973083233618734,False
FRB20180907E,A: Optimized Asymmetric FRED,469.8634151672275,25.973083233618734,True
FRB20180908B,Native (CHIME portal),208.5693651115039,13.36763600476384,False
FRB20180908B,B: CHIME Boxcar,318.50144058640365,23.2955424598217,False
FRB20180908B,A: Optimized Asymmetric FRED,379.7679428985123,23.2955424598217,True
FRB20180909A,Native (CHIME portal),93.65830104966922,13.306331980390588,False
FRB20180909A,B: CHIME Boxcar,112.16440036605925,12.940825937117467,False
FRB20180909A,A: Optimized Asymmetric FRED,117.00094591458196,12.940825937117467,True
FRB20180910A,Native (CHIME portal),573.4602146148682,13.070376587748527,False
FRB20180910A,B: CHIME Boxcar,581.0119889378548,13.640261178302763,True
FRB20180910A,A: Optimized Asymmetric FRED,507.1631281699036,13.640261178302763,False
FRB20180911A,Native (CHIME portal),152.54514728347144,8.516379548746698,False
FRB20180911A,B: CHIME Boxcar,167.90215415583592,15.860309983011181,True
FRB20180911A,A: Optimized Asymmetric FRED,153.8321471444355,15.860309983011181,False
FRB20180911C,Native (CHIME portal),181.97049305150222,15.732314781475067,False
FRB20180911C,B: CHIME Boxcar,327.6477380651887,26.333302852284906,False
FRB20180911C,A: Optimized Asymmetric FRED,442.35846725526164,26.333302852284906,True
FRB20180915A,Native (CHIME portal),172.87968279101057,19.03912481512427,False
FRB20180915A,B: CHIME Boxcar,253.12559831866463,23.423703701502085,False
FRB20180915A,A: Optimized Asymmetric FRED,310.7324427219379,23.423703701502085,True
FRB20180915B,Native (CHIME portal),191.69180738925934,17.868418190324306,False
FRB20180915B,B: CHIME Boxcar,255.9742080471322,27.77653828330636,False
FRB20180915B,A: Optimized Asymmetric FRED,295.1643344217662,27.77653828330636,True
FRB20180916A,Native (CHIME portal),321.4101960659027,16.00997884783745,False
FRB20180916A,B: CHIME Boxcar,349.16418051719666,29.280964619100093,True
FRB20180916A,A: Optimized Asymmetric FRED,294.5223067119741,29.280964619100093,False
FRB20180916B,Native (CHIME portal),288.1052893351259,18.66831597032547,False
FRB20180916B,B: CHIME Boxcar,345.6342795789242,25.8189917604804,False
FRB20180916B,A: Optimized Asymmetric FRED,372.03481205731043,25.8189917604804,True
FRB20180916C,Native (CHIME portal),109.67145967530203,11.191146337427266,False
FRB20180916C,B: CHIME Boxcar,159.47192018843666,10.440361631223654,False
FRB20180916C,A: Optimized Asymmetric FRED,185.72472371642417,10.440361631223654,True
FRB20180917A,Native (CHIME portal),231.55752038140096,16.34826630391075,False
